"member_casual","Date","month","rideable_type","total_rides","Year"
"member",19,"March","classic_bike",3141,2021
"member",19,"March","electric_bike",1311,2021
"member",20,"March","classic_bike",4673,2021
"member",20,"March","electric_bike",1585,2021
"member",21,"March","classic_bike",5634,2021
"member",21,"March","electric_bike",1431,2021
"member",22,"March","classic_bike",5058,2021
"member",22,"March","electric_bike",1456,2021
"member",23,"March","classic_bike",2771,2021
"member",23,"March","electric_bike",1151,2021
"member",24,"March","classic_bike",4026,2021
"member",24,"March","electric_bike",1635,2021
"member",25,"March","classic_bike",3200,2021
"member",25,"March","electric_bike",1336,2021
"member",26,"March","classic_bike",3084,2021
"member",26,"March","electric_bike",1364,2021
"member",27,"March","classic_bike",4672,2021
"member",27,"March","electric_bike",1829,2021
"member",28,"March","classic_bike",2946,2021
"member",28,"March","electric_bike",1219,2021
"member",29,"March","classic_bike",4206,2021
"member",29,"March","electric_bike",1559,2021
"member",30,"March","classic_bike",4456,2021
"member",30,"March","electric_bike",1906,2021
"member",31,"March","classic_bike",3220,2021
"member",31,"March","electric_bike",1525,2021
"casual",1,"April","classic_bike",668,2021
"casual",1,"April","docked_bike",195,2021
"casual",1,"April","electric_bike",693,2021
"casual",2,"April","classic_bike",1707,2021
"casual",2,"April","docked_bike",683,2021
"casual",2,"April","electric_bike",1194,2021
"casual",3,"April","classic_bike",5955,2021
"casual",3,"April","docked_bike",2754,2021
"casual",3,"April","electric_bike",2379,2021
"casual",4,"April","classic_bike",5413,2021
"casual",4,"April","docked_bike",2612,2021
"casual",4,"April","electric_bike",1846,2021
"casual",5,"April","classic_bike",2435,2021
"casual",5,"April","docked_bike",954,2021
"casual",5,"April","electric_bike",1151,2021
"casual",6,"April","classic_bike",4074,2021
"casual",6,"April","docked_bike",1668,2021
"casual",6,"April","electric_bike",2019,2021
"casual",7,"April","classic_bike",3451,2021
"casual",7,"April","docked_bike",1293,2021
"casual",7,"April","electric_bike",1674,2021
"casual",8,"April","classic_bike",739,2021
"casual",8,"April","docked_bike",215,2021
"casual",8,"April","electric_bike",563,2021
"casual",9,"April","classic_bike",2678,2021
"casual",9,"April","docked_bike",1007,2021
"casual",9,"April","electric_bike",1435,2021
"casual",10,"April","classic_bike",1152,2021
"casual",10,"April","docked_bike",360,2021
"casual",10,"April","electric_bike",757,2021
"casual",11,"April","classic_bike",2792,2021
"casual",11,"April","docked_bike",958,2021
"casual",11,"April","electric_bike",1355,2021
"casual",12,"April","classic_bike",2011,2021
"casual",12,"April","docked_bike",675,2021
"casual",12,"April","electric_bike",1201,2021
"casual",13,"April","classic_bike",1557,2021
"casual",13,"April","docked_bike",428,2021
"casual",13,"April","electric_bike",1093,2021
"casual",14,"April","classic_bike",1066,2021
"casual",14,"April","docked_bike",301,2021
"casual",14,"April","electric_bike",875,2021
"casual",15,"April","classic_bike",1209,2021
"casual",15,"April","docked_bike",304,2021
"casual",15,"April","electric_bike",1020,2021
"casual",16,"April","classic_bike",2080,2021
"casual",16,"April","docked_bike",598,2021
"casual",16,"April","electric_bike",1501,2021
"casual",17,"April","classic_bike",3686,2021
"casual",17,"April","docked_bike",1310,2021
"casual",17,"April","electric_bike",1972,2021
"casual",18,"April","classic_bike",3201,2021
"casual",18,"April","docked_bike",1318,2021
"casual",18,"April","electric_bike",1920,2021
"casual",19,"April","classic_bike",847,2021
"casual",19,"April","docked_bike",184,2021
"casual",19,"April","electric_bike",763,2021
"casual",20,"April","classic_bike",728,2021
"casual",20,"April","docked_bike",142,2021
"casual",20,"April","electric_bike",733,2021
"casual",21,"April","classic_bike",754,2021
"casual",21,"April","docked_bike",149,2021
"casual",21,"April","electric_bike",726,2021
"casual",22,"April","classic_bike",1793,2021
"casual",22,"April","docked_bike",492,2021
"casual",22,"April","electric_bike",1362,2021
"casual",23,"April","classic_bike",2647,2021
"casual",23,"April","docked_bike",720,2021
"casual",23,"April","electric_bike",1979,2021
"casual",24,"April","classic_bike",4044,2021
"casual",24,"April","docked_bike",1244,2021
"casual",24,"April","electric_bike",2115,2021
"casual",25,"April","classic_bike",2004,2021
"casual",25,"April","docked_bike",564,2021
"casual",25,"April","electric_bike",1213,2021
"casual",26,"April","classic_bike",3031,2021
"casual",26,"April","docked_bike",998,2021
"casual",26,"April","electric_bike",1780,2021
"casual",27,"April","classic_bike",4270,2021
"casual",27,"April","docked_bike",1414,2021
