"Time_Range","member_casual","month","rideable_type","count","Year"
"0-2","member","October","electric_bike",3845,2021
"2-4","casual","October","classic_bike",1465,2021
"2-4","casual","October","docked_bike",366,2021
"2-4","casual","October","electric_bike",2481,2021
"2-4","member","October","classic_bike",1349,2021
"2-4","member","October","electric_bike",1538,2021
"4-6","casual","October","classic_bike",742,2021
"4-6","casual","October","docked_bike",129,2021
"4-6","casual","October","electric_bike",1657,2021
"4-6","member","October","classic_bike",2240,2021
"4-6","member","October","electric_bike",2194,2021
"6-8","casual","October","classic_bike",3169,2021
"6-8","casual","October","docked_bike",465,2021
"6-8","casual","October","electric_bike",5503,2021
"6-8","member","October","classic_bike",15720,2021
"6-8","member","October","electric_bike",11196,2021
"8-10","casual","October","classic_bike",7490,2021
"8-10","casual","October","docked_bike",1399,2021
"8-10","casual","October","electric_bike",9432,2021
"8-10","member","October","classic_bike",23275,2021
"8-10","member","October","electric_bike",17079,2021
"10-12","casual","October","classic_bike",12770,2021
"10-12","casual","October","docked_bike",3329,2021
"10-12","casual","October","electric_bike",13188,2021
"10-12","member","October","classic_bike",20894,2021
"10-12","member","October","electric_bike",16294,2021
"12-14","casual","October","classic_bike",15119,2021
"12-14","casual","October","docked_bike",4143,2021
"12-14","casual","October","electric_bike",15942,2021
"12-14","member","October","classic_bike",24677,2021
"12-14","member","October","electric_bike",19489,2021
"14-16","casual","October","classic_bike",15652,2021
"14-16","casual","October","docked_bike",4010,2021
"14-16","casual","October","electric_bike",18091,2021
"14-16","member","October","classic_bike",24603,2021
"14-16","member","October","electric_bike",20201,2021
"16-18","casual","October","classic_bike",17625,2021
"16-18","casual","October","docked_bike",3674,2021
"16-18","casual","October","electric_bike",21190,2021
"16-18","member","October","classic_bike",40289,2021
"16-18","member","October","electric_bike",29272,2021
"18-20","casual","October","classic_bike",14045,2021
"18-20","casual","October","docked_bike",2152,2021
"18-20","casual","October","electric_bike",17314,2021
"18-20","member","October","classic_bike",31018,2021
"18-20","member","October","electric_bike",22481,2021
"20-22","casual","October","classic_bike",7602,2021
"20-22","casual","October","docked_bike",1330,2021
"20-22","casual","October","electric_bike",10048,2021
"20-22","member","October","classic_bike",14664,2021
"20-22","member","October","electric_bike",12181,2021
"22-24","casual","October","classic_bike",6111,2021
"22-24","casual","October","docked_bike",1181,2021
"22-24","casual","October","electric_bike",8531,2021
"22-24","member","October","classic_bike",8090,2021
"22-24","member","October","electric_bike",7664,2021
"0-2","casual","November","classic_bike",791,2021
"0-2","casual","November","docked_bike",179,2021
"0-2","casual","November","electric_bike",2427,2021
"0-2","member","November","classic_bike",1504,2021
"0-2","member","November","electric_bike",2515,2021
"2-4","casual","November","classic_bike",353,2021
"2-4","casual","November","docked_bike",94,2021
"2-4","casual","November","electric_bike",1057,2021
"2-4","member","November","classic_bike",490,2021
"2-4","member","November","electric_bike",844,2021
"4-6","casual","November","classic_bike",257,2021
"4-6","casual","November","docked_bike",47,2021
"4-6","casual","November","electric_bike",883,2021
"4-6","member","November","classic_bike",1505,2021
"4-6","member","November","electric_bike",1799,2021
"6-8","casual","November","classic_bike",1239,2021
"6-8","casual","November","docked_bike",185,2021
"6-8","casual","November","electric_bike",3283,2021
"6-8","member","November","classic_bike",10727,2021
"6-8","member","November","electric_bike",10233,2021
"8-10","casual","November","classic_bike",2231,2021
"8-10","casual","November","docked_bike",418,2021
"8-10","casual","November","electric_bike",4817,2021
"8-10","member","November","classic_bike",14520,2021
"8-10","member","November","electric_bike",14262,2021
"10-12","casual","November","classic_bike",3587,2021
"10-12","casual","November","docked_bike",964,2021
"10-12","casual","November","electric_bike",6294,2021
"10-12","member","November","classic_bike",11774,2021
"10-12","member","November","electric_bike",12461,2021
"12-14","casual","November","classic_bike",4707,2021
"12-14","casual","November","docked_bike",1445,2021
"12-14","casual","November","electric_bike",8617,2021
"12-14","member","November","classic_bike",14669,2021
"12-14","member","November","electric_bike",15800,2021
"14-16","casual","November","classic_bike",5431,2021
"14-16","casual","November","docked_bike",1597,2021
"14-16","casual","November","electric_bike",10214,2021
"14-16","member","November","classic_bike",16107,2021
"14-16","member","November","electric_bike",17392,2021
"16-18","casual","November","classic_bike",5514,2021
"16-18","casual","November","docked_bike",1247,2021
"16-18","casual","November","electric_bike",11796,2021
"16-18","member","November","classic_bike",23650,2021
"16-18","member","November","electric_bike",24092,2021
"18-20","casual","November","classic_bike",4066,2021
"18-20","casual","November","docked_bike",701,2021
