"Day","month","member_casual","rideable_type","mean_count","Year"
"Thu","October","member","electric_bike",5537,2021
"Fri","October","casual","classic_bike",3138,2021
"Fri","October","casual","docked_bike",651,2021
"Fri","October","casual","electric_bike",4117,2021
"Fri","October","member","classic_bike",6593,2021
"Fri","October","member","electric_bike",5367,2021
"Sat","October","casual","classic_bike",6064,2021
"Sat","October","casual","docked_bike",1429,2021
"Sat","October","casual","electric_bike",5856,2021
"Sat","October","member","classic_bike",7148,2021
"Sat","October","member","electric_bike",5247,2021
"Sun","November","casual","classic_bike",1484,2021
"Sun","November","casual","docked_bike",412,2021
"Sun","November","casual","electric_bike",2466,2021
"Sun","November","member","classic_bike",3285,2021
"Sun","November","member","electric_bike",3354,2021
"Mon","November","casual","classic_bike",848,2021
"Mon","November","casual","docked_bike",189,2021
"Mon","November","casual","electric_bike",1922,2021
"Mon","November","member","classic_bike",4453,2021
"Mon","November","member","electric_bike",4558,2021
"Tue","November","casual","classic_bike",851,2021
"Tue","November","casual","docked_bike",164,2021
"Tue","November","casual","electric_bike",2212,2021
"Tue","November","member","classic_bike",5012,2021
"Tue","November","member","electric_bike",5220,2021
"Wed","November","casual","classic_bike",959,2021
"Wed","November","casual","docked_bike",177,2021
"Wed","November","casual","electric_bike",2312,2021
"Wed","November","member","classic_bike",4765,2021
"Wed","November","member","electric_bike",5075,2021
"Thu","November","casual","classic_bike",762,2021
"Thu","November","casual","docked_bike",162,2021
"Thu","November","casual","electric_bike",1875,2021
"Thu","November","member","classic_bike",3634,2021
"Thu","November","member","electric_bike",4228,2021
"Fri","November","casual","classic_bike",936,2021
"Fri","November","casual","docked_bike",213,2021
"Fri","November","casual","electric_bike",2101,2021
"Fri","November","member","classic_bike",3484,2021
"Fri","November","member","electric_bike",4043,2021
"Sat","November","casual","classic_bike",1703,2021
"Sat","November","casual","docked_bike",498,2021
"Sat","November","casual","electric_bike",2940,2021
"Sat","November","member","classic_bike",3543,2021
"Sat","November","member","electric_bike",3796,2021
"Sun","December","casual","classic_bike",655,2021
"Sun","December","casual","docked_bike",197,2021
"Sun","December","casual","electric_bike",1258,2021
"Sun","December","member","classic_bike",1768,2021
"Sun","December","member","electric_bike",2081,2021
"Mon","December","casual","classic_bike",541,2021
"Mon","December","casual","docked_bike",133,2021
"Mon","December","casual","electric_bike",1260,2021
"Mon","December","member","classic_bike",2649,2021
"Mon","December","member","electric_bike",2972,2021
"Tue","December","casual","classic_bike",410,2021
"Tue","December","casual","docked_bike",70,2021
"Tue","December","casual","electric_bike",1080,2021
"Tue","December","member","classic_bike",2591,2021
"Tue","December","member","electric_bike",2946,2021
"Wed","December","casual","classic_bike",573,2021
"Wed","December","casual","docked_bike",128,2021
"Wed","December","casual","electric_bike",1440,2021
"Wed","December","member","classic_bike",3093,2021
"Wed","December","member","electric_bike",3715,2021
"Thu","December","casual","classic_bike",683,2021
"Thu","December","casual","docked_bike",151,2021
"Thu","December","casual","electric_bike",1683,2021
"Thu","December","member","classic_bike",3153,2021
"Thu","December","member","electric_bike",3883,2021
"Fri","December","casual","classic_bike",724,2021
"Fri","December","casual","docked_bike",180,2021
"Fri","December","casual","electric_bike",1687,2021
"Fri","December","member","classic_bike",2622,2021
"Fri","December","member","electric_bike",3275,2021
"Sat","December","casual","classic_bike",870,2021
"Sat","December","casual","docked_bike",259,2021
"Sat","December","casual","electric_bike",1642,2021
"Sat","December","member","classic_bike",2114,2021
"Sat","December","member","electric_bike",2654,2021
"Sun","January","casual","classic_bike",190,2022
"Sun","January","casual","docked_bike",32,2022
"Sun","January","casual","electric_bike",281,2022
"Sun","January","member","classic_bike",972,2022
"Sun","January","member","electric_bike",826,2022
"Mon","January","casual","classic_bike",173,2022
"Mon","January","casual","docked_bike",19,2022
"Mon","January","casual","electric_bike",293,2022
"Mon","January","member","classic_bike",1483,2022
"Mon","January","member","electric_bike",1192,2022
"Tue","January","casual","classic_bike",206,2022
"Tue","January","casual","docked_bike",24,2022
"Tue","January","casual","electric_bike",368,2022
"Tue","January","member","classic_bike",1912,2022
"Tue","January","member","electric_bike",1526,2022
"Wed","January","casual","classic_bike",220,2022
"Wed","January","casual","docked_bike",31,2022
"Wed","January","casual","electric_bike",346,2022
"Wed","January","member","classic_bike",1893,2022
"Wed","January","member","electric_bike",1303,2022
"Thu","January","casual","classic_bike",234,2022
"Thu","January","casual","docked_bike",27,2022
"Thu","January","casual","electric_bike",376,2022
"Thu","January","member","classic_bike",2009,2022
"Thu","January","member","electric_bike",1494,2022
"Fri","January","casual","classic_bike",242,2022
"Fri","January","casual","docked_bike",28,2022
"Fri","January","casual","electric_bike",345,2022
"Fri","January","member","classic_bike",1655,2022
"Fri","January","member","electric_bike",1183,2022
"Sat","January","casual","classic_bike",312,2022
"Sat","January","casual","docked_bike",52,2022
"Sat","January","casual","electric_bike",394,2022
"Sat","January","member","classic_bike",1188,2022
"Sat","January","member","electric_bike",1008,2022
"Sun","February","casual","classic_bike",431,2022
